support,itemsets,length
0.03345195729537367,frozenset({'UHT-milk'}),1
0.017691916624300967,frozenset({'baking powder'}),1
0.05246568378240976,frozenset({'beef'}),1
0.033248601931875954,frozenset({'berries'}),1
0.026029486527707167,frozenset({'beverages'}),1
0.08052872394509406,frozenset({'bottled beer'}),1
0.11052364006100661,frozenset({'bottled water'}),1
0.06487036095577021,frozenset({'brown bread'}),1
0.05541433655312659,frozenset({'butter'}),1
0.027961362480935434,frozenset({'butter milk'}),1
0.013218098627351297,frozenset({'cake bar'}),1
0.0298932384341637,frozenset({'candy'}),1
0.07768174885612608,frozenset({'canned beer'}),1
0.015048296898830707,frozenset({'canned fish'}),1
0.010777834265378749,frozenset({'canned vegetables'}),1
0.023284189120488054,frozenset({'cat food'}),1
0.021047280122013217,frozenset({'chewing gum'}),1
0.04290798169801729,frozenset({'chicken'}),1
0.04961870869344179,frozenset({'chocolate'}),1
0.08276563294356888,frozenset({'citrus fruit'}),1
0.011387900355871887,frozenset({'cling film/bags'}),1
0.05805795627859685,frozenset({'coffee'}),1
0.010269445856634469,frozenset({'condensed milk'}),1
0.03965429588205389,frozenset({'cream cheese'}),1
0.05327910523640061,frozenset({'curd'}),1
0.03711235383833249,frozenset({'dessert'}),1
0.019217081850533807,frozenset({'detergent'}),1
0.01047280122013218,frozenset({'dish cleaner'}),1
0.01759023894255211,frozenset({'dishes'}),1
0.06344687341128623,frozenset({'domestic eggs'}),1
0.017386883579054397,frozenset({'flour'}),1
0.010371123538383325,frozenset({'flower (seeds)'}),1
0.058973055414336555,frozenset({'frankfurter'}),1
0.010777834265378749,frozenset({'frozen dessert'}),1
0.011692933401118455,frozenset({'frozen fish'}),1
0.02836807320793086,frozenset({'frozen meals'}),1
0.04809354346720895,frozenset({'frozen vegetables'}),1
0.0722928317234367,frozenset({'fruit/vegetable juice'}),1
0.022369089984748347,frozenset({'grapes'}),1
0.026029486527707167,frozenset({'ham'}),1
0.033248601931875954,frozenset({'hamburger meat'}),1
0.024504321301474327,frozenset({'hard cheese'}),1
0.01626842907981698,frozenset({'herbs'}),1
0.03294356888662939,frozenset({'hygiene articles'}),1
0.025012709710218607,frozenset({'ice cream'}),1
0.011082867310625319,frozenset({'liquor'}),1
0.037417386883579054,frozenset({'long life bakery product'}),1
0.05856634468734113,frozenset({'margarine'}),1
0.025826131164209457,frozenset({'meat'}),1
0.02836807320793086,frozenset({'misc. beverages'}),1
0.011997966446365024,frozenset({'mustard'}),1
0.05236400610066091,frozenset({'napkins'}),1
0.07981698017285206,frozenset({'newspapers'}),1
0.02806304016268429,frozenset({'oil'}),1
0.031011692933401117,frozenset({'onions'}),1
0.1934926283680732,frozenset({'other vegetables'}),1
0.013014743263853584,frozenset({'packaged fruit/vegetables'}),1
0.015048296898830707,frozenset({'pasta'}),1
0.08896797153024912,frozenset({'pastry'}),1
0.017895271987798677,frozenset({'pickled vegetables'}),1
