antecedents,consequents,support,confidence,lift
"citrus fruit, other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"other vegetables, yogurt",whipped/sour cream,0.010167768174885612,0.23419203747072598,3.2670619695384255
"other vegetables, tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
"citrus fruit, root vegetables",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"root vegetables, tropical fruit",other vegetables,0.012302999491611592,0.5845410628019324,3.020999134344196
root vegetables,"other vegetables, whole milk",0.023182511438739197,0.2126865671641791,2.84208204899416
"other vegetables, whole milk",root vegetables,0.023182511438739197,0.30978260869565216,2.84208204899416
butter,"other vegetables, whole milk",0.011489578037620742,0.2073394495412844,2.7706297367371358
"curd, whole milk",yogurt,0.010066090493136757,0.3852140077821012,2.761355514968633
whipped/sour cream,"other vegetables, whole milk",0.014641586171835282,0.20425531914893616,2.7294172062904716
"other vegetables, yogurt",root vegetables,0.012913065582104729,0.297423887587822,2.728697700024468
"other vegetables, yogurt",tropical fruit,0.012302999491611592,0.28337236533957844,2.700549625111196
"other vegetables, root vegetables",citrus fruit,0.010371123538383325,0.21888412017167383,2.644625702565617
"other vegetables, rolls/buns",root vegetables,0.012201321809862735,0.2863961813842482,2.6275246678302997
"tropical fruit, whole milk",root vegetables,0.011997966446365024,0.2836538461538462,2.602365276980483
"rolls/buns, root vegetables",other vegetables,0.012201321809862735,0.502092050209205,2.5948898128258175
"root vegetables, yogurt",other vegetables,0.012913065582104729,0.5,2.5840777719390435
"whole milk, yogurt",tropical fruit,0.015149974580579562,0.2704174228675136,2.5770885212228642
pip fruit,tropical fruit,0.02043721403152008,0.2701612903225806,2.5746475681420353
"tropical fruit, whole milk",yogurt,0.015149974580579562,0.3581730769230769,2.5675161891679745
"whipped/sour cream, yogurt",other vegetables,0.010167768174885612,0.4901960784313725,2.5334095803323953
"other vegetables, whipped/sour cream",yogurt,0.010167768174885612,0.352112676056338,2.524073009485484
"other vegetables, root vegetables",tropical fruit,0.012302999491611592,0.25965665236051505,2.4745379612070404
"other vegetables, tropical fruit",yogurt,0.012302999491611592,0.34277620396600567,2.4571457478175405
"root vegetables, whole milk",other vegetables,0.023182511438739197,0.47401247401247404,2.4497701954349353
"whipped/sour cream, whole milk",yogurt,0.010879511947127605,0.3375394321766561,2.419606643919397
"citrus fruit, whole milk",yogurt,0.010269445856634469,0.33666666666666667,2.4133503401360543
"whole milk, yogurt",root vegetables,0.014539908490086425,0.2595281306715063,2.3810253406289785
onions,other vegetables,0.014234875444839857,0.45901639344262296,2.372268118501417
"pork, whole milk",other vegetables,0.010167768174885612,0.45871559633027514,2.370713552237654
"whipped/sour cream, whole milk",other vegetables,0.014641586171835282,0.4542586750788643,2.3476794899635474
"root vegetables, whole milk",tropical fruit,0.011997966446365024,0.24532224532224534,2.337930506535158
chicken,root vegetables,0.010879511947127605,0.2535545023696682,2.32622064440829
curd,yogurt,0.01728520589730554,0.3244274809160305,2.325615360648076
"pip fruit, whole milk",other vegetables,0.013523131672597865,0.44932432432432434,2.3221779977560324
citrus fruit,tropical fruit,0.0199288256227758,0.2407862407862408,2.2947022074929055
berries,yogurt,0.010574478901881037,0.3180428134556575,2.279847718904075
"curd, yogurt",whole milk,0.010066090493136757,0.5823529411764706,2.27912502048173
other vegetables,root vegetables,0.047381799694966954,0.24487651077246453,2.2466049285887957
root vegetables,other vegetables,0.047381799694966954,0.43470149253731344,2.2466049285887952
