antecedents,consequents,support,confidence,lift
"citrus fruit, other vegetables",root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
"other vegetables, yogurt",whipped/sour cream,0.010167768174885612,0.23419203747072598,3.2670619695384255
"other vegetables, tropical fruit",root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
"citrus fruit, root vegetables",other vegetables,0.010371123538383325,0.5862068965517241,3.0296084222733612
"root vegetables, tropical fruit",other vegetables,0.012302999491611592,0.5845410628019324,3.020999134344196
root vegetables,"other vegetables, whole milk",0.023182511438739197,0.2126865671641791,2.84208204899416
"other vegetables, whole milk",root vegetables,0.023182511438739197,0.30978260869565216,2.84208204899416
butter,"other vegetables, whole milk",0.011489578037620742,0.2073394495412844,2.7706297367371358
"curd, whole milk",yogurt,0.010066090493136757,0.3852140077821012,2.761355514968633
